participant_id,condition,age,gender,date_tested,rt_mean_ms,accuracy,stress_1,stress_2,stress_3,stress_4,stress_5,stress_score
P001,control,21,male,2026-03-15,620.4,0.933,3,2,4,1,2,2.0
P002,stress,28,male,2026-03-03,576.9,0.869,5,5,3,5,4,4.4
P003,stress,20,female,2026-03-07,533.4,0.912,5,5,1,5,5,5.0
P004,control,29,female,2026-04-05,723.9,0.889,4,3,2,3,3,3.4
P005,control,29,male,2026-03-31,561.9,0.821,1,2,4,2,1,1.6
P006,stress,20,male,2026-03-16,693.6,0.86,5,4,2,5,5,4.6
P007,control,31,male,2026-03-29,684.7,0.908,3,4,3,4,4,3.6
P008,stress,25,female,2026-03-02,819.5,0.863,4,4,1,4,5,4.4
P009,control,31,female,2026-03-03,691.8,0.883,3,2,4,2,3,2.4
P010,control,19,female,2026-03-22,638.9,0.967,2,3,5,3,1,2.0
P011,stress,21,male,2026-03-26,683.4,0.867,4,4,2,3,3,3.6
P012,stress,26,male,2026-04-08,694.4,0.869,4,3,4,3,3,3.0
P013,stress,22,female,2026-04-01,736.7,0.77,1,2,3,3,1,2.0
P014,stress,24,female,2026-03-12,775.7,0.797,5,5,2,5,5,4.8
P015,stress,29,female,2026-04-03,689.5,0.922,2,5,3,5,2,3.4
P016,stress,21,male,2026-03-21,815.7,0.811,3,4,3,4,3,3.4
P017,stress,29,male,2026-04-04,617.2,0.975,2,1,5,1,1,1.2
P018,control,20,female,2026-03-08,611.9,0.964,2,3,4,3,1,2.2
P019,stress,21,female,2026-03-03,953.8,0.864,4,5,1,5,5,4.8
P020,control,28,male,2026-03-04,632.3,0.824,1,1,5,2,2,1.4
P021,stress,31,female,2026-04-10,849.0,0.848,5,4,1,4,5,4.6
P022,control,21,male,2026-03-05,457.5,0.911,1,3,3,2,3,2.4
P023,control,23,female,2026-04-08,520.3,0.885,5,4,3,3,5,4.0
P024,stress,33,female,2026-03-31,714.9,0.838,4,5,3,5,4,4.2
P025,stress,34,male,2026-03-07,704.7,0.758,4,5,3,4,5,4.2
P026,stress,28,female,2026-04-05,649.8,0.825,5,5,1,5,5,5.0
P027,control,26,female,2026-03-07,701.4,0.846,2,2,3,3,3,2.6
P028,stress,24,female,2026-03-07,643.4,0.895,5,3,4,4,4,3.6
P029,stress,28,female,2026-03-25,779.9,0.842,4,3,3,5,3,3.6
P030,control,28,female,2026-03-13,675.8,0.934,1,2,4,1,2,1.6
P031,control,23,female,2026-03-13,644.7,0.866,1,1,3,1,2,1.6
P032,control,19,female,2026-03-09,683.9,0.881,1,1,5,3,1,1.4
P033,control,21,female,2026-03-26,625.0,0.854,3,1,5,2,2,1.8
P034,stress,34,male,2026-03-03,692.2,0.78,4,5,1,5,5,4.8
P035,stress,25,male,2026-03-11,804.2,0.778,5,4,1,4,3,4.2
P036,control,26,female,2026-03-24,702.2,0.799,2,3,4,3,3,2.6
P037,stress,26,female,2026-03-21,689.8,0.815,3,5,2,4,4,4.0
P038,stress,31,female,2026-03-29,540.8,0.755,5,5,1,5,5,5.0
P039,control,20,male,2026-03-10,460.2,0.956,2,3,5,3,4,2.6
P040,stress,20,male,2026-03-27,842.7,0.868,4,5,2,4,5,4.4
P041,control,23,female,2026-04-01,735.0,0.955,2,3,4,2,1,2.0
P042,stress,26,female,2026-03-17,655.2,0.854,2,2,1,3,4,3.2
P043,stress,29,female,2026-03-12,584.8,0.884,3,4,2,3,4,3.6
P044,control,26,female,2026-03-24,647.9,0.845,3,2,3,3,3,2.8
P045,control,26,male,2026-03-25,714.5,0.916,3,5,1,5,5,4.6
P046,stress,34,female,2026-03-05,937.8,0.756,2,3,1,3,4,3.4
P047,control,21,female,2026-03-24,681.3,0.861,2,3,3,3,3,2.8
P048,stress,28,female,2026-03-08,669.6,0.822,2,5,3,3,2,3.0
